HITS algorithm iterate 73 times:
node	authority	hub
1	0.00000		0.00271
2	0.00090		0.00000
3	0.00000		0.00000
4	0.00014		0.00000
5	0.00000		0.00000
6	0.00113		0.00000
7	0.00043		0.00984
8	0.00100		0.01446
9	0.00217		0.01222
10	0.00056		0.00000
11	0.00038		0.00000
12	0.00045		0.00000
13	0.00000		0.00000
14	0.00000		0.00000
15	0.00000		0.00000
16	0.00003		0.00000
17	0.00127		0.00000
18	0.00000		0.00000
19	0.00000		0.00000
20	0.00000		0.00000
21	0.00007		0.00000
22	0.00019		0.00000
23	0.00000		0.00000
24	0.00000		0.00000
25	0.00264		0.01060
26	0.00003		0.00000
27	0.00004		0.00000
28	0.00042		0.00000
29	0.00000		0.00000
30	0.00000		0.00000
31	0.00000		0.00000
32	0.00038		0.00000
33	0.00000		0.00000
34	0.00036		0.00000
35	0.00003		0.00000
36	0.00031		0.00356
37	0.00045		0.00000
38	0.00000		0.00000
39	0.00000		0.00000
40	0.00047		0.00000
41	0.00156		0.00424
42	0.00003		0.00000
43	0.00479		0.00000
44	0.00050		0.00000
45	0.00000		0.00000
46	0.00037		0.00000
47	0.00057		0.00000
48	0.00035		0.00000
49	0.00003		0.00000
50	0.00056		0.01437
51	0.00000		0.00000
52	0.00046		0.00000
53	0.00001		0.00000
54	0.00003		0.00000
55	0.00053		0.00000
56	0.00012		0.00000
57	0.00052		0.00000
58	0.00004		0.00000
59	0.00056		0.00933
60	0.00003		0.00000
61	0.00000		0.00000
62	0.03015		0.00901
63	0.00047		0.00080
64	0.00000		0.00000
65	0.00003		0.00000
66	0.00012		0.00000
67	0.00000		0.00000
68	0.00306		0.00406
69	0.00173		0.00000
70	0.00000		0.00000
71	0.00000		0.00000
72	0.00000		0.00000
73	0.00028		0.00000
74	0.00120		0.00000
75	0.00000		0.00000
76	0.00000		0.00000
77	0.00000		0.00000
78	0.03000		0.01001
79	0.00227		0.01523
80	0.00074		0.00000
81	0.00202		0.01230
82	0.00003		0.00000
83	0.00000		0.00000
84	0.00000		0.00000
85	0.00042		0.00000
86	0.00087		0.00000
87	0.00000		0.00000
88	0.00071		0.00000
89	0.00004		0.00000
90	0.00000		0.00000
91	0.00115		0.01528
92	0.00036		0.00000
93	0.00003		0.00000
94	0.00003		0.00000
95	0.00346		0.00385
96	0.00004		0.00000
97	0.00019		0.00000
98	0.00001		0.00107
99	0.00078		0.00000
100	0.00000		0.00000
101	0.00104		0.00000
102	0.00038		0.00008
103	0.00000		0.00000
104	0.00037		0.00000
105	0.00004		0.00000
106	0.00073		0.00093
107	0.00000		0.00000
108	0.00003		0.00000
109	0.00055		0.00000
110	0.00044		0.00000
111	0.00000		0.00000
112	0.00012		0.00000
113	0.00000		0.00000
114	0.00006		0.00000
115	0.00036		0.00000
116	0.00003		0.00000
117	0.00025		0.00107
118	0.00000		0.00000
119	0.00044		0.00000
120	0.00000		0.00000
121	0.00037		0.00000
122	0.00003		0.00000
123	0.00003		0.00000
124	0.00000		0.00000
125	0.00040		0.00000
126	0.00035		0.00000
127	0.00040		0.00000
128	0.00003		0.00000
129	0.00038		0.00000
130	0.00000		0.00000
131	0.00000		0.00000
132	0.00003		0.00000
133	0.00073		0.00000
134	0.01346		0.01011
135	0.00068		0.00415
136	0.00004		0.00000
137	0.00255		0.00000
138	0.00000		0.00000
139	0.00462		0.00000
140	0.00056		0.01430
141	0.00039		0.00000
142	0.00335		0.00000
143	0.00081		0.00000
144	0.00000		0.00000
145	0.00000		0.00000
146	0.00000		0.00000
147	0.00003		0.00000
148	0.00000		0.00000
149	0.00000		0.00000
150	0.00000		0.00000
151	0.00122		0.00000
152	0.00003		0.00000
153	0.00000		0.00000
154	0.00066		0.00154
155	0.00004		0.00000
156	0.00065		0.00103
157	0.00045		0.00101
158	0.00000		0.00000
159	0.00003		0.00000
160	0.00183		0.00000
161	0.00011		0.00000
162	0.00000		0.00000
163	0.00000		0.00000
164	0.00000		0.00000
165	0.00001		0.00000
166	0.00070		0.00046
167	0.00106		0.00000
168	0.00000		0.00000
169	0.00043		0.01404
170	0.00000		0.00000
171	0.00452		0.01614
172	0.00000		0.00000
173	0.00004		0.00000
174	0.00026		0.00000
175	0.00037		0.00000
176	0.00004		0.00000
177	0.00000		0.00000
178	0.00000		0.00000
179	0.00000		0.00000
180	0.02394		0.01155
181	0.00000		0.00000
182	0.00000		0.00000
183	0.00000		0.00000
184	0.00003		0.00000
185	0.00038		0.01540
186	0.00080		0.00000
187	0.00093		0.00967
188	0.00000		0.00000
189	0.00000		0.00000
190	0.00000		0.00000
191	0.00015		0.00385
192	0.00000		0.00000
193	0.00016		0.00000
194	0.00056		0.01443
195	0.00003		0.00000
196	0.00035		0.00000
197	0.00024		0.00000
198	0.00045		0.00000
199	0.00074		0.00090
200	0.00004		0.00000
201	0.00000		0.00000
202	0.00200		0.01089
203	0.00201		0.00000
204	0.00003		0.00000
205	0.00060		0.00000
206	0.00004		0.00000
207	0.00000		0.00000
208	0.00000		0.00000
209	0.00030		0.00396
210	0.00000		0.00000
211	0.00060		0.00000
212	0.00000		0.00000
213	0.00038		0.00000
214	0.00056		0.00000
215	0.00004		0.00000
216	0.00000		0.00000
217	0.00003		0.00000
218	0.00060		0.00000
219	0.00001		0.00110
220	0.00448		0.00373
221	0.00077		0.00000
222	0.00003		0.00000
223	0.00072		0.00000
224	0.00004		0.00000
225	0.01250		0.00000
226	0.00000		0.00000
227	0.00015		0.00000
228	0.00050		0.00000
229	0.00000		0.00000
230	0.00000		0.00000
231	0.00000		0.00000
232	0.00056		0.00072
233	0.00008		0.00000
234	0.00000		0.00000
235	0.00003		0.00000
236	0.00000		0.00000
237	0.00036		0.00000
238	0.00044		0.00000
239	0.00000		0.00000
240	0.00011		0.00000
241	0.00004		0.00000
242	0.00000		0.00000
243	0.00000		0.00000
244	0.00004		0.00000
245	0.00044		0.00000
246	0.00004		0.00000
247	0.00000		0.00000
248	0.00004		0.00000
249	0.00048		0.00000
250	0.00215		0.01235
251	0.00000		0.00000
252	0.00000		0.00000
253	0.00042		0.00000
254	0.00228		0.00384
255	0.00000		0.00000
256	0.00003		0.00000
257	0.00000		0.00000
258	0.00000		0.00000
259	0.00063		0.00000
260	0.00055		0.00000
261	0.00037		0.00000
262	0.00000		0.00000
263	0.00000		0.00000
264	0.00000		0.00000
265	0.00000		0.00000
266	0.00100		0.01135
267	0.00043		0.01400
268	0.00004		0.00000
269	0.00020		0.00000
270	0.00076		0.00000
271	0.00000		0.00000
272	0.00000		0.00000
273	0.00451		0.00390
274	0.00004		0.00000
275	0.00000		0.00000
276	0.00035		0.00000
277	0.00298		0.00000
278	0.00050		0.00000
279	0.00000		0.00000
280	0.00000		0.00000
281	0.00019		0.00000
282	0.00000		0.00000
283	0.00071		0.00169
284	0.00000		0.00000
285	0.00000		0.00000
286	0.00000		0.00000
287	0.00000		0.00000
288	0.00000		0.00000
289	0.00058		0.00000
290	0.00043		0.00428
291	0.00000		0.00000
292	0.00000		0.00000
293	0.00004		0.00000
294	0.00036		0.00000
295	0.00004		0.00000
296	0.00000		0.00000
297	0.00076		0.00000
298	0.00328		0.00000
299	0.00000		0.00000
300	0.00037		0.00992
301	0.00046		0.00000
302	0.00007		0.00000
303	0.00000		0.00000
304	0.00000		0.00000
305	0.00000		0.00000
306	0.00014		0.00000
307	0.00043		0.00000
308	0.00050		0.00000
309	0.00089		0.01017
310	0.00003		0.00000
311	0.00014		0.00000
312	0.00176		0.00938
313	0.00000		0.00000
314	0.00000		0.00000
315	0.00000		0.00000
316	0.00000		0.00000
317	0.00057		0.00000
318	0.00000		0.00000
319	0.00055		0.00000
320	0.00001		0.00107
321	0.00015		0.00000
322	0.00000		0.00000
323	0.00000		0.00000
324	0.00101		0.00385
325	0.00003		0.00000
326	0.00004		0.00000
327	0.00000		0.00000
328	0.00000		0.00000
329	0.00056		0.00000
330	0.00000		0.00000
331	0.00245		0.00307
332	0.00038		0.00000
333	0.00000		0.00000
334	0.00007		0.00000
335	0.00004		0.00000
336	0.00056		0.01369
337	0.00343		0.00000
338	0.00000		0.00000
339	0.00003		0.00000
340	0.00003		0.00000
341	0.00044		0.00000
342	0.00000		0.00000
343	0.00004		0.00000
344	0.00003		0.00000
345	0.00003		0.00000
346	0.00006		0.00000
347	0.00020		0.00000
348	0.00060		0.00000
349	0.00044		0.00000
350	0.00117		0.00000
351	0.00000		0.00000
352	0.00052		0.00088
353	0.00000		0.00000
354	0.00056		0.00000
355	0.00007		0.00000
356	0.00063		0.00000
357	0.01697		0.00000
358	0.00000		0.00000
359	0.00016		0.00000
360	0.00010		0.00000
361	0.00082		0.00183
362	0.00157		0.00000
363	0.00000		0.00000
364	0.00110		0.00000
365	0.00001		0.00000
366	0.00072		0.00000
367	0.00413		0.00000
368	0.00055		0.00000
369	0.00138		0.00000
370	0.01070		0.00000
371	0.00000		0.00000
372	0.00043		0.00000
373	0.00052		0.00000
374	0.00491		0.00000
375	0.00000		0.00000
